exam_id,source_type,hsk_level,top_word,top_word_count
H30000,listening,3,的,70
H30000,reading,3,的,105
H31001,listening,3,的,80
H31001,reading,3,的,125
H31002,listening,3,的,72
H31002,reading,3,的,106
H31003,listening,3,十五,123
H31003,reading,3,的,112
H31004,listening,3,的,75
H31004,reading,3,的,125
H31005,listening,3,的,70
H31005,reading,3,了,114
H31006,listening,3,的,71
H31006,reading,3,的,100
H31007,listening,3,的,89
H31007,reading,3,的,116
H31008,listening,3,的,84
H31008,reading,3,的,121
H31009,listening,3,了,47
H31009,reading,3,了,114
H31110,listening,3,的,67
H31110,reading,3,的,107
H31111,listening,3,的,78
H31111,reading,3,了,115
H31114,listening,3,的,85
H31114,reading,3,的,108
H31115,listening,3,的,66
H31115,reading,3,的,97
H31116,listening,3,了,86
H31116,reading,3,了,113
H31117,listening,3,的,74
H31117,reading,3,了,94
H31218,listening,3,我,70
H31218,reading,3,了,114
H31219,listening,3,了,78
H31219,reading,3,了,110
H31220,listening,3,了,65
H31220,reading,3,了,106
H31221,listening,3,了,53
H31221,reading,3,的,98
H31327,listening,3,了,76
H31327,reading,3,的,45
H31328,listening,3,了,97
H31328,reading,3,了,125
H31329,listening,3,的,77
H31329,reading,3,了,53
H31330,listening,3,十六,94
H31330,reading,3,的,49
H31332,listening,3,十五,144
H31332,reading,3,了,56
H31333,listening,3,的,63
H31333,reading,3,了,101
H31335,listening,3,的,61
H31335,reading,3,了,46
H31446,listening,3,的,74
H31446,reading,3,了,46
H31447,listening,3,了,74
H31447,reading,3,了,48
H31448,listening,3,的,78
H31448,reading,3,的,48
H31553B,listening,3,的,69
H31553B,reading,3,的,101
H31553C,listening,3,我,67
H31553C,reading,3,了,102
H31553D,listening,3,了,67
H31553D,reading,3,了,100
H40000,listening,4,的,68
H40000,reading,4,的,177
H41001,listening,4,的,97
H41001,reading,4,的,189
H41002,listening,4,的,87
H41002,reading,4,的,208
H41003,listening,4,的,87
H41003,reading,4,的,203
H41004,listening,4,的,101
H41004,reading,4,的,223
H41005,listening,4,的,126
H41005,reading,4,的,212
H41006,listening,4,的,97
H41006,reading,4,的,104
H41007,listening,4,的,80
H41007,reading,4,的,96
H41008,listening,4,的,93
H41008,reading,4,的,92
H41009,listening,4,的,99
H41009,reading,4,的,107
H41110,listening,4,的,86
H41110,reading,4,的,180
H41111,listening,4,的,100
H41111,reading,4,的,185
H41113,listening,4,的,97
H41113,reading,4,的,188
H41114,listening,4,的,70
H41114,reading,4,的,174
H41115,listening,4,的,88
H41115,reading,4,的,178
H41116,listening,4,的,71
H41116,reading,4,的,172
H41117,listening,4,的,74
H41117,reading,4,的,177
H41218,listening,4,的,80
H41218,reading,4,的,83
H41219,listening,4,的,87
H41219,reading,4,的,97
H41220,listening,4,的,83
H41220,reading,4,的,93
H41221,listening,4,的,64
H41221,reading,4,的,102
H41327,listening,4,的,81
H41327,reading,4,的,78
H41328,listening,4,的,88
H41328,reading,4,的,102
H41329,listening,4,的,77
H41329,reading,4,的,104
H41330,listening,4,的,91
H41330,reading,4,的,98
H41331,listening,4,的,93
H41331,reading,4,的,206
H41332,listening,4,的,79
H41332,reading,4,的,78
H41333,listening,4,的,69
H41333,reading,4,的,176
H41439,listening,4,的,79
H41439,reading,4,的,97
H41553B,listening,4,的,84
H41553B,reading,4,的,182
H41553C,listening,4,的,92
H41553C,reading,4,的,207
H41553D,listening,4,的,91
H41553D,reading,4,的,184
